RowID,Year,BranchName,AnnualNumberofVisits
379,2015,Parkdale,430586
380,2015,Parliament Street,245031
381,2015,Palmerston,93588
382,2015,Port Union,107850
383,2015,Pleasant View,74638
384,2015,Queen/Saulter,58850
385,2015,Riverdale,198713
386,2015,Richview,422923
387,2015,Runnymede,473488
388,2015,Rexdale,53825
389,2015,Sanderson,250775
390,2015,Sunnybrook Hospital,15550
391,2015,Scarborough Civic Centre,83038
392,2015,St. Clair/Silverthorn,29788
393,2015,St. James Town,177063
394,2015,St. Lawrence,103806
395,2015,Spadina Road,88788
396,2015,Steeles,161988
397,2015,Swansea Memorial,17988
398,2015,S. Walter Stewart,244873
399,2015,Taylor Memorial,41388
400,2015,Thorncliffe,189550
401,2015,Todmorden Room,28400
402,2015,Toronto Reference Library,1310779
403,2015,Victoria Village,32275
404,2015,Weston,89225
405,2015,Woodview Park,41450
406,2015,Woodside Square,405225
407,2015,Wychwood,116525
408,2015,Yorkville,157850
409,2015,York Woods,220492
410,2016,Albion,208251
411,2016,Albert Campbell,310244
412,2016,Alderwood,99865
413,2016,Agincourt,313157
414,2016,Armour Heights,67355
415,2016,Annette Street,114135
416,2016,Amesbury Park,56483
417,2016,Brookbanks,71442
418,2016,Black Creek,107969
419,2016,Bendale,57910
420,2016,Beaches,187288
421,2016,Barbara Frum,234632
422,2016,Bookmobile One,18828
423,2016,Bloor/Gladstone,364124
424,2016,Brentwood,248601
425,2016,Bridlewood,423004
426,2016,Burrows Hall,92664
427,2016,Cliffcrest,69148
428,2016,Centennial,124345
429,2016,Cedarbrae,363118
430,2016,City Hall,198786
431,2016,North York Central Library,1347718
432,2016,College/Shaw,103681
433,2016,Danforth/Coxwell,173523
434,2016,Don Mills,258252
435,2016,Downsview,206115
436,2016,Deer Park,281764
437,2016,Dawes Road,100748
438,2016,Davenport,35844
439,2016,Dufferin/St. Clair,104307
440,2016,Eatonville,239521
441,2016,Elmbrook Park,47231
442,2016,Evelyn Gregory,47549
443,2016,Ethennonnhawahstihnen',175117
444,2016,Eglinton Square,106859
445,2016,Forest Hill,108116
446,2016,Fort York,179705
447,2016,Flemingdon Park,176366
448,2016,Fairview,518674
449,2016,Gerrard/Ashdale,98279
450,2016,Goldhawk Park,178752
451,2016,Guildwood,59634
452,2016,Humber Bay,45753
453,2016,Highland Creek,63785
454,2016,Hillcrest,119386
455,2016,High Park,204908
456,2016,Humber Summit,58365
457,2016,Humberwood,138709
458,2016,Jane/Dundas,158532
459,2016,Jones,82480
460,2016,Jane/Sheppard,94976
461,2016,Kennedy/Eglinton,87203
462,2016,Long Branch,57181
463,2016,Leaside,157136
464,2016,Locke,188439
465,2016,Lillian H. Smith,331193
466,2016,Main Street,113091
467,2016,Malvern,348081
468,2016,Maria A. Shchuka,231078
469,2016,McGregor Park,134570
470,2016,Mount Dennis,84210
471,2016,Merril Collection,10148
472,2016,Mimico Centennial,99232
473,2016,Mount Pleasant,66950
474,2016,Maryvale,203955
475,2016,Morningside,101804
476,2016,Northern District,364658
477,2016,Northern Elms,33536
478,2016,New Toronto,59758
479,2016,Osborne Collection,12416
480,2016,Oakwood Village Library and Arts Centre,85169
481,2016,Pape/Danforth,236930
482,2016,Perth/Dupont,46514
483,2016,Parkdale,352888
484,2016,Parliament Street,238566
485,2016,Palmerston,107896
486,2016,Port Union,98121
487,2016,Pleasant View,78629
488,2016,Queen/Saulter,66399
489,2016,Riverdale,195261
490,2016,Richview,296948
491,2016,Runnymede,287359
492,2016,Rexdale,51075
493,2016,Sanderson,234299
494,2016,Sunnybrook Hospital,18673
495,2016,Scarborough Civic Centre,175181
496,2016,St. Clair/Silverthorn,30566
497,2016,St. James Town,174275
498,2016,St. Lawrence,115189
499,2016,Spadina Road,86768
500,2016,Steeles,168942
501,2016,Swansea Memorial,20580
502,2016,S. Walter Stewart,251375
503,2016,Taylor Memorial,40691
504,2016,Thorncliffe,215864
505,2016,Todmorden Room,25246
506,2016,Toronto Reference Library,1462894
507,2016,Victoria Village,42402
508,2016,Weston,99950
509,2016,Woodview Park,54098
510,2016,Woodside Square,441229
511,2016,Wychwood,143043
512,2016,Yorkville,148942
513,2016,York Woods,209768
514,2017,Albion,260950
515,2017,Albert Campbell,356374
516,2017,Alderwood,97083
517,2017,Agincourt,326233
518,2017,Armour Heights,73163
519,2017,Annette Street,126645
520,2017,Amesbury Park,25865
521,2017,Brookbanks,73732
522,2017,Black Creek,102627
523,2017,Bendale,50632
524,2017,Beaches,213974
525,2017,Barbara Frum,248990
526,2017,Bookmobile One,16034
527,2017,Bloor/Gladstone,360508
528,2017,Brentwood,267983
529,2017,Bridlewood,429296
530,2017,Burrows Hall,84899
531,2017,Cliffcrest,65757
532,2017,Centennial,177412
533,2017,Cedarbrae,384227
534,2017,City Hall,195475
535,2017,North York Central Library,342972
536,2017,College/Shaw,103458
537,2017,Danforth/Coxwell,175012
538,2017,Don Mills,257738
539,2017,Downsview,230231
540,2017,Deer Park,281482
541,2017,Dawes Road,96392
542,2017,Davenport,34954
543,2017,Dufferin/St. Clair,103822
544,2017,Eatonville,238477
545,2017,Elmbrook Park,48985
546,2017,Evelyn Gregory,48477
547,2017,Ethennonnhawahstihnen',226109
548,2017,Eglinton Square,131313
549,2017,Forest Hill,117222
550,2017,Fort York,169371
551,2017,Flemingdon Park,156265
552,2017,Fairview,566666
553,2017,Gerrard/Ashdale,104259
554,2017,Goldhawk Park,175028
555,2017,Guildwood,62890
556,2017,Humber Bay,46188
557,2017,Highland Creek,60785
558,2017,Hillcrest,116053
559,2017,High Park,203854
560,2017,Humber Summit,24575
561,2017,Humberwood,120153
562,2017,Jane/Dundas,163511
563,2017,Jones,81100
564,2017,Jane/Sheppard,87221
565,2017,Kennedy/Eglinton,92895
566,2017,Long Branch,50700
567,2017,Leaside,157550
568,2017,Locke,215365
569,2017,Lillian H. Smith,319555
570,2017,Main Street,120433
571,2017,Malvern,331665
572,2017,Maria A. Shchuka,234462
573,2017,McGregor Park,127230
574,2017,Mount Dennis,88386
575,2017,Merril Collection,13069
576,2017,Mimico Centennial,92721
577,2017,Mount Pleasant,59793
578,2017,Maryvale,157983
579,2017,Morningside,100674
580,2017,Northern District,391543
581,2017,Northern Elms,34143
582,2017,New Toronto,59211
583,2017,Osborne Collection,16250
584,2017,Oakwood Village Library and Arts Centre,94240
585,2017,Pape/Danforth,233308
586,2017,Perth/Dupont,53451
587,2017,Parkdale,337974
588,2017,Parliament Street,227666
589,2017,Palmerston,112115
590,2017,Port Union,86237
591,2017,Pleasant View,79549
592,2017,Queen/Saulter,71094
593,2017,Riverdale,194268
594,2017,Richview,252083
595,2017,Runnymede,151817
596,2017,Rexdale,50646
597,2017,Sanderson,228745
598,2017,Sunnybrook Hospital,20808
599,2017,Scarborough Civic Centre,193914
600,2017,St. Clair/Silverthorn,24915
601,2017,St. James Town,169242
602,2017,St. Lawrence,118778
603,2017,Spadina Road,85114
604,2017,Steeles,156659
605,2017,Swansea Memorial,38627
606,2017,S. Walter Stewart,262097
607,2017,Taylor Memorial,35466
608,2017,Thorncliffe,197227
609,2017,Todmorden Room,28939
610,2017,Toronto Reference Library,1604864
611,2017,Victoria Village,43446
612,2017,Weston,92943
613,2017,Woodview Park,58297
614,2017,Woodside Square,402862
615,2017,Wychwood,133540
616,2017,Yorkville,152520
617,2017,York Woods,200531
618,2018,Albion,327977
619,2018,Albert Campbell,340522
620,2018,Alderwood,100886
621,2018,Agincourt,368837
622,2018,Armour Heights,73829
623,2018,Annette Street,102239
624,2018,Amesbury Park,51242
625,2018,Brookbanks,73308
626,2018,Black Creek,98278
627,2018,Bendale,51489
628,2018,Beaches,207052
629,2018,Barbara Frum,246900
630,2018,Bookmobile One,13516
631,2018,Bloor/Gladstone,369395
632,2018,Brentwood,257933
633,2018,Bridlewood,434621
634,2018,Burrows Hall,81913
635,2018,Cliffcrest,65876
636,2018,Centennial,157112
637,2018,Cedarbrae,355089
638,2018,City Hall,197005
639,2018,North York Central Library,830485
640,2018,College/Shaw,101932
641,2018,Danforth/Coxwell,169976
642,2018,Don Mills,253090
643,2018,Downsview,231580
644,2018,Deer Park,289666
645,2018,Dawes Road,89637
646,2018,Davenport,37506
647,2018,Dufferin/St. Clair,111761
648,2018,Eatonville,232419
649,2018,Elmbrook Park,45807
650,2018,Evelyn Gregory,46693
651,2018,Ethennonnhawahstihnen',202545
652,2018,Eglinton Square,251189
653,2018,Forest Hill,113245
654,2018,Fort York,190668
655,2018,Flemingdon Park,139776
656,2018,Fairview,546827
657,2018,Gerrard/Ashdale,99576
658,2018,Goldhawk Park,164412
659,2018,Guildwood,57017
660,2018,Humber Bay,44973
661,2018,Highland Creek,57664
662,2018,Hillcrest,116494
663,2018,High Park,200533
664,2018,Humber Summit,35770
665,2018,Humberwood,101360
666,2018,Jane/Dundas,154666
667,2018,Jones,78623
668,2018,Jane/Sheppard,83508
669,2018,Kennedy/Eglinton,81014
670,2018,Long Branch,53829
671,2018,Leaside,162265
672,2018,Locke,206804
673,2018,Lillian H. Smith,327094
674,2018,Main Street,122506
675,2018,Malvern,294944
676,2018,Maria A. Shchuka,216570
677,2018,McGregor Park,122591
678,2018,Mount Dennis,80819
679,2018,Merril Collection,14550
680,2018,Mimico Centennial,91352
681,2018,Mount Pleasant,62333
682,2018,Maryvale,137412
683,2018,Morningside,102939
684,2018,Northern District,373362
685,2018,Northern Elms,33315
686,2018,New Toronto,55870
687,2018,Osborne Collection,19171
688,2018,Oakwood Village Library and Arts Centre,98891
689,2018,Pape/Danforth,230567
690,2018,Perth/Dupont,55219
691,2018,Parkdale,333245
692,2018,Parliament Street,225922
693,2018,Palmerston,103023
694,2018,Port Union,84874
695,2018,Pleasant View,66616
696,2018,Queen/Saulter,68578
697,2018,Riverdale,180916
698,2018,Richview,275100
699,2018,Runnymede,284820
700,2018,Rexdale,40274
701,2018,Sanderson,223279
702,2018,Sunnybrook Hospital,15883
703,2018,Scarborough Civic Centre,191703
704,2018,St. James Town,157596
705,2018,St. Lawrence,117556
706,2018,Spadina Road,85974
707,2018,Steeles,55838
708,2018,Swansea Memorial,20826
709,2018,S. Walter Stewart,259975
710,2018,Taylor Memorial,34784
711,2018,Thorncliffe,194581
712,2018,Todmorden Room,28888
713,2018,Toronto Reference Library,1594315
714,2018,Victoria Village,42043
715,2018,Weston,91230
716,2018,Woodview Park,58068
717,2018,Woodside Square,373195
718,2018,Wychwood,62229
719,2018,Yorkville,137585
720,2018,York Woods,170623
721,2019,Albion,337559
722,2019,Albert Campbell,229609
723,2019,Alderwood,100412
724,2019,Agincourt,356784
725,2019,Armour Heights,72816
726,2019,Annette Street,97246
727,2019,Amesbury Park,56893
728,2019,Brookbanks,77106
729,2019,Black Creek,107777
730,2019,Bendale,48541
731,2019,Beaches,198067
732,2019,Barbara Frum,235589
733,2019,Bookmobile One,12221
734,2019,Bloor/Gladstone,363692
735,2019,Brentwood,205226
736,2019,Bridlewood,404356
737,2019,Burrows Hall,85122
738,2019,Cliffcrest,67906
739,2019,Centennial,134067
740,2019,Cedarbrae,355086
741,2019,City Hall,202935
742,2019,North York Central Library,1398539
